CPU Time;Module;Clockticks;Instructions Retired;CPI Rate;Light Operations;Heavy Operations;Front-End Latency;Front-End Bandwidth MITE;Front-End Bandwidth DSB;(Info) DSB Coverage;(Info) DSB Misses;Bad Speculation;Back-End Bound;Average CPU Frequency;Function (Full);Source File;Start Address
0.00361446;ntoskrnl.exe;14400000;9000000;1.6;0.3125;0;0;0;0;0;0;0;1;3.984e+09;ExAcquireRundownProtectionCacheAwareEx;[Unknown];0x1402e3c40
0.000903615;ntoskrnl.exe;0;3600000;0;;;0;0;0;0;0;0;1;0;ExAcquireSpinLockExclusive;[Unknown];0x140285720
0.000903615;ntoskrnl.exe;3600000;0;;0;0;0;0;0;0;0;0;1;3.984e+09;ExAcquireSpinLockExclusiveAtDpcLevel;[Unknown];0x1402c5400
0.00271085;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;6.63999e+08;ExAcquireSpinLockShared;[Unknown];0x1402c9c20
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;ExAllocatePool2;[Unknown];0x1409b5280
0;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;ExAllocatePoolWithQuotaTag;[Unknown];0x1402b2c10
0.00451808;ntoskrnl.exe;5400000;1800000;3;0.166667;0;0;0;0;0;0;0;1;1.1952e+09;ExAllocatePoolWithTag;[Unknown];0x1409b5010
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;ExDeleteResourceLite;[Unknown];0x1402d5840
0.00180723;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;9.95999e+08;ExEnterCriticalRegionAndAcquireFastMutexUnsafe;[Unknown];0x140308f30
0.00903615;ntoskrnl.exe;3600000;1800000;2;0.25;0;0;0;0;0;0;0;1;3.984e+08;ExEnterCriticalRegionAndAcquireResourceExclusive;[Unknown];0x14022f800
0.000903615;ntoskrnl.exe;3600000;0;;0;0;0;0;0;0;0;0;1;3.984e+09;ExEnterCriticalRegionAndAcquireResourceShared;[Unknown];0x140231580
0.00451808;ntoskrnl.exe;3600000;9000000;0.4;1;0;0;0;0;0;0;0;0;7.96799e+08;ExEnterPriorityRegionAndAcquireResourceShared;[Unknown];0x1403034c0
0.00271085;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;ExFreePool;[Unknown];0x1409b50b0
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;ExfReleasePushLockShared;[Unknown];0x1402dc840
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;ExInterlockedRemoveHeadList;[Unknown];0x14030a730
